,label,"First 5 Principal Components of Local Phase Quantization (LPQ) features
Local Phase Quantization (LPQ) features",,,,,First 5 Principal Components of Pyramid of Histogram of Gradients (PHOG) features,,,,
Airheads_000519240_00000005.mat,1,-0.00081724,0.0034698,-0.0075171,-0.010912,-0.0054296,0.0095511,0.0067755,0.0035193,-0.00099964,0.0043082
AlexEmma_000225840_00000024.mat,1,-0.0019823,-0.00026502,0.00016096,-0.010747,0.00082863,-0.00049553,-0.0047233,-0.0053007,2.90E-05,0.0024337
AlexEmma_000846120_00000015.mat,1,-0.0030116,0.013759,-0.0087055,0.0019429,0.0061133,0.01235,-0.0044805,-6.89E-05,0.0022386,0.0063954
AlexEmma_000958320_00000022.mat,1,0.00022408,0.0048942,-0.0054845,-0.0044262,-0.0098829,-0.0012781,-0.0030751,-0.0022199,0.00015534,0.00037549
AlexEmma_000958320_00000048.mat,1,-0.00044217,-0.0023756,-0.0024227,-0.010372,0.0021083,0.00092784,0.00082337,-0.0031689,-0.0039125,0.0051525
AlexEmma_000958320_00000069.mat,1,-0.0011055,0.0021197,-0.0032849,-0.0064262,-0.011666,0.0025168,-0.0088354,-0.0023136,-0.0041014,0.001039
AlexEmma_001907600_00000047.mat,1,-0.0012627,-0.022519,-0.0037013,-0.0056274,-0.009489,-0.013399,0.0034253,-0.0070648,0.0036605,0.0025155
AlexEmma_001911440_00000042.mat,1,-0.0011693,-0.022367,-0.014832,-0.0011779,-0.011345,-0.016939,0.0048949,-0.012611,0.0053144,0.0066979
AlexEmma_004108160_00000005.mat,1,0.0020192,-0.0021889,0.0016372,-0.0078953,-0.0076976,0.014068,0.0079642,0.0068933,-0.001063,0.0011439
AlexEmma_004541880_00000063.mat,1,-0.0045181,-0.013468,-0.0054261,-0.0030916,-0.0023567,0.010618,0.0068644,-0.0049586,0.0011314,0.0027233
AlexEmma_011823160_00000002.mat,1,-0.0026443,-0.0080293,-0.014288,-0.0058553,-0.0030814,-0.01372,0.0063709,-0.0033444,0.00086169,0.0098901
AlexEmma_011823160_00000020.mat,1,-0.002961,-0.006497,-0.01055,-0.0050085,-0.0038343,-0.012835,0.0059831,0.00047243,-0.00024567,0.0073289
AlexEmma_011824880_00000036.mat,1,-0.0017628,-0.018495,-0.0085933,-0.0051268,-0.0081491,-0.013014,0.006319,-0.0084818,0.0035157,0.0077901
AlexEmma_011824880_00000041.mat,1,-0.00046242,-0.0093245,-0.0083331,-0.0087151,-0.0069696,-0.005116,0.0060904,-0.0048525,-0.00099424,0.0024985
AlexEmma_011824880_00000048.mat,1,-0.0016586,-0.010739,-0.0079359,-0.0098256,-0.0058599,-0.0089289,0.0077286,-0.001417,0.0025427,0.0065222
AlexEmma_011824880_00000076.mat,1,-0.0022622,-0.0068676,-0.0080289,-0.0049804,-0.0078652,-0.0078594,0.010013,0.0023534,0.0017103,0.0064359
AndSoonCameDarkness_005445120_00000021.mat,1,-0.0041429,-0.0083947,0.0037405,0.00094134,0.0052127,0.0044249,-0.0065056,-0.0032856,-0.011229,-0.0025118
AndSoonCameDarkness_005445120_00000053.mat,1,-0.0011216,0.0009297,0.0068987,-0.00050649,0.0112,-0.0035101,-0.0099428,0.0039688,-0.0019801,-0.0025555
Bridesmaids_000505440_00000001.mat,1,-0.0058813,0.028475,-0.0096436,0.010083,0.0048148,-0.0078677,-0.0058213,0.001409,0.0045138,-0.0037919
Bridesmaids_000505440_00000053.mat,1,-0.0031186,0.032147,-0.013418,0.004672,0.0021396,-0.004804,-0.0056556,0.00013423,0.0038519,-0.0041281
Bridesmaids_000633160_00000001.mat,1,-0.0018061,-0.029363,0.044885,0.0075166,0.0020237,0.0026599,-0.0057933,0.001646,0.0030582,0.0055054
Bridesmaids_004329400_00000016.mat,1,-0.0029347,0.012217,-0.0039011,-0.0028043,-0.00075018,0.0052883,0.0007187,-0.0017683,0.001271,-0.0060045
Bridesmaids_004518040_00000015.mat,1,-0.0050227,-0.017054,0.0035851,-0.0038893,-0.00042261,0.0093417,-0.0024214,-0.0013027,0.0034852,0.0034381
Bridesmaids_011346520_00000050.mat,1,-0.0014403,-0.011222,0.008509,-0.00023923,-0.0003599,-0.0026784,0.0059518,0.010766,-0.0055396,0.0055861
Bridesmaids_012258000_00000059.mat,1,-0.0050371,-0.0048558,-0.011638,-0.0044611,0.00040298,-0.0054158,0.0083807,0.001181,-0.0057574,-0.0023598
Bridesmaids_012317840_00000001.mat,1,-0.0024266,-0.017464,0.0030123,-0.0013373,-0.0015357,-0.0030522,-0.0004246,-0.00459,-0.0018715,-0.0045899
Bridesmaids_012317840_00000014.mat,1,-0.0040089,-0.012437,-0.0030043,-0.0035653,-0.00037296,0.0060265,0.0045371,0.0013976,0.0013232,-0.007328
Bridesmaids_012330560_00000001.mat,1,-0.0017702,-0.0084568,0.0066546,-0.0045153,0.0013009,0.0050888,0.0043552,0.0026725,-0.00076537,-0.0059968
Bridesmaids_012332520_00000001.mat,1,-0.0022576,-0.012847,0.0054116,0.00016245,-0.0033449,-0.0053552,0.0096722,-0.0078622,-0.0074288,0.0086351
Bridesmaids_012332520_00000011.mat,1,-0.0035384,-0.011047,-0.0062452,0.0028336,0.0028952,-0.0096616,0.0080819,-0.005276,-0.0030369,0.0051468
Bridesmaids_012332520_00000016.mat,1,-0.0043712,-0.01031,-0.012958,0.003382,-0.0019525,-0.0071176,0.0082688,-0.0073442,-0.0022577,-0.00018211
Bridesmaids_012404000_00000001.mat,1,-0.0035079,-0.006741,-0.0057242,3.08E-05,0.0004322,-0.014378,0.0069539,-0.0050529,0.0035775,0.0077118
Bridesmaids_012921200_00000001.mat,1,-0.0052663,-0.01373,-0.011711,0.00026713,0.0044454,-0.0067014,-0.0030156,-0.0050023,0.0015167,-0.01172
Contraband_011817120_00000011.mat,1,-0.0019229,0.02151,0.012498,0.00099183,0.0030594,0.0040714,-0.013814,-0.0052915,-0.0029126,0.0050357
CryingGame_003415240_00000005.mat,1,-0.0034,-0.0023921,-0.0074692,0.00014056,0.0041433,-0.01087,0.0008546,-0.0053146,-0.0016845,0.0018592
CryingGame_003415240_00000019.mat,1,0.00040425,0.0032016,0.00089774,-0.0016135,-9.35E-05,-0.0064105,0.00090482,0.0083445,-0.003192,0.0012925
CryingGame_013249040_00000040.mat,1,-0.0045632,0.0043219,0.0074584,0.011655,0.0016407,-0.002266,-0.011177,0.0053497,-0.0067411,0.0024694
DecemberBoys_003642720_00000001.mat,1,-0.0016493,0.0073396,-4.24E-05,0.0032616,-0.0050959,0.0038817,0.013693,0.0056363,-0.0082722,-0.0034125
DecemberBoys_003642720_00000012.mat,1,-0.00027935,0.010563,-0.0017705,-0.008248,-0.00473,0.0080115,0.010726,-0.0072464,-0.002619,0.002202
DecemberBoys_003642720_00000058.mat,1,0.00012009,0.0093292,-0.0021157,-0.012016,-0.0044257,0.0059932,0.011014,0.0042765,-0.0036438,0.0026771
DeepBlueSea_005737640_00000091.mat,1,-7.91E-05,0.034971,0.0047666,-0.010163,0.0069582,0.003081,-0.0078868,0.0017879,-0.0073303,0.0021912
DeepBlueSea_012801400_00000011.mat,1,-0.001459,-0.012878,0.0076937,-0.0097576,-0.00073469,0.0017714,-0.0041431,-0.0030254,9.18E-05,0.0043961
DeepBlueSea_012801400_00000048.mat,1,-0.00213,-0.011126,0.0045962,-0.011067,-0.0043471,-0.0021171,-0.0052348,-0.0016657,0.00054628,-0.00064051
Descendants_003858520_00000022.mat,1,-0.00373,0.0043942,0.00055101,-0.0083147,0.012913,-0.0036536,-0.0050979,0.0062116,-0.0019136,0.0054875
GhostShip_011515080_00000073.mat,1,6.26E-05,-0.00042933,-8.95E-06,-0.013468,0.0016655,0.007089,0.00080649,0.0034118,-0.0048122,-0.0034177
GirlWithAPearlEarring_005524480_00000031.mat,1,-0.0053487,-0.0010839,-0.01219,0.0078554,-0.0080551,0.0077203,0.013565,0.0029872,0.0062915,-0.00669
GirlWithAPearlEarring_005526040_00000007.mat,1,-0.0042278,-0.011176,0.0037662,0.0055613,0.010582,-0.003008,-0.0029852,-0.0046213,-0.002663,-0.0016144
GirlWithAPearlEarring_012432920_00000021.mat,1,-0.0013715,-0.0092533,-2.71E-05,0.016635,-0.0056284,0.00074431,-0.0091403,-0.0086923,-0.00032459,0.0046358
GirlWithAPearlEarring_012432920_00000031.mat,1,-0.0015065,0.011606,0.03203,0.006974,-0.0050312,-0.00068306,-0.008885,0.00010779,-0.0041655,0.002562
HarryPotterAndOrderOPhoenix_015256413_00000011.mat,1,-0.0041063,0.019265,-0.0016824,0.0084434,-0.0028855,0.006091,0.0054821,-0.003749,0.01647,-0.0076189
HarryPotter_Deathly_Hallows_1_000046280_00000017.mat,1,-0.0029778,0.02052,-0.015543,0.0068957,-0.008752,0.00069612,0.0053414,-0.0029007,-0.015278,-0.0047521
HarryPotter_Deathly_Hallows_1_000046280_00000081.mat,1,-0.0026554,0.020734,-0.010664,0.0096263,-0.0032683,-0.00011187,0.0022262,-0.010637,-0.013132,-0.0045526
HarryPotter_Deathly_Hallows_1_000046280_00000091.mat,1,-0.0042227,0.021871,-0.010958,0.0086481,-0.0085199,0.0014339,0.001498,-0.009725,-0.014254,-0.0039295
HarryPotter_Deathly_Hallows_1_001425880_00000062.mat,1,-0.0021384,0.010668,-0.0062448,-0.0047535,-0.0025332,0.0022103,0.0050917,0.001954,0.0042866,-0.0033327
HarryPotter_Deathly_Hallows_1_010758520_00000002.mat,1,0.00018083,-0.017269,-0.0028306,-0.011251,-0.010107,-0.00049335,0.01023,-0.00092172,-0.0041511,-0.0032157
HarryPotter_Deathly_Hallows_1_011317280_00000044.mat,1,0.0015074,0.019261,-0.0032851,-0.013921,0.0037147,0.0038625,-0.0021242,0.0010569,0.0013794,-0.0022911
HarryPotter_Deathly_Hallows_1_011419400_00000001.mat,1,-0.0019031,-0.00036273,0.016935,-0.00085197,-0.0010369,0.0054786,-0.0045993,-0.0031744,0.0014018,0.0031651
HarryPotter_GobletOfFire_004924334_00000004.mat,1,-0.0041587,-0.015492,-0.0038254,-0.0086751,0.012051,-0.0048947,-0.005991,0.0017722,-0.00027879,-0.0023777
HarryPotter_Half_Blood_Prince_000029301_00000001.mat,1,-0.0035431,0.028603,-0.0021607,0.011616,-0.0022545,0.0031692,0.0028451,0.0059502,0.0056156,-0.0082057
HarryPotter_Half_Blood_Prince_002409374_00000004.mat,1,-0.003555,0.01987,-0.0081971,0.0045938,-0.0010265,-0.0074337,0.001898,0.0061957,0.0015097,0.012552
HarryPotter_Half_Blood_Prince_005938934_00000039.mat,1,-0.0067809,0.00571,-0.01158,0.0151,0.0049884,-0.010065,-0.0019479,-0.0015323,-0.00046639,-0.003421
HarryPotter_PhilosopherStone_000507614_00000006.mat,1,-0.002887,-0.016588,-0.00021962,0.0061746,-0.0023688,0.010041,-0.0030994,-0.0021012,0.010498,-0.0025977
HarryPotter_PhilosopherStone_000507614_00000033.mat,1,-0.0012993,-0.020275,-0.0012944,0.0060728,-0.0048173,0.010036,-4.10E-05,-0.0040885,0.0089601,-0.00454
HarryPotter_PhilosopherStone_001519934_00000076.mat,1,-0.00053999,0.0040051,0.0057199,-0.0098225,0.00020507,0.008203,-0.0024926,-0.0064289,0.001804,-0.0001421
HarryPotter_PhilosopherStone_001549894_00000025.mat,1,-0.0015944,0.0079929,0.0034429,-0.0017081,0.0019936,0.0082761,-0.0013447,-0.0037206,0.0022921,-0.0022234
IAmSam_003343120_00000058.mat,1,-0.0053436,0.0078803,-0.0023883,0.0083389,0.014422,-0.0096549,-0.0047259,-0.00072608,0.00020576,0.0015779
IAmSam_013844800_00000074.mat,1,-0.0015898,-0.012634,-0.00047369,0.0061825,-0.0074477,0.0096675,-0.0044559,-0.0031846,0.0088628,0.0018159
Juno_001934160_00000047.mat,1,-0.0036815,0.0070973,0.0019629,-0.0066919,0.010598,0.01119,0.0024974,0.005291,0.0007044,-0.0003415
Juno_001934160_00000075.mat,1,-0.0034539,0.010414,0.0060987,-0.0060227,0.0029863,0.01274,0.0016969,0.003996,0.0011585,0.0029202
LittleManhattan_004317294_00000033.mat,1,-0.003871,-0.023339,-0.00016651,0.0002619,0.0018112,-0.011753,0.00079929,0.0054948,0.0019036,-0.0079783
LittleManhattan_010116283_00000006.mat,1,-0.0042441,0.00012252,0.0071301,0.0025182,0.0080473,0.0092008,-0.0012211,0.00084929,-0.0006965,-0.004478
LittleManhattan_010116283_00000027.mat,1,-3.96E-05,-0.0086777,0.017494,-0.010735,0.00059576,-0.0095403,-0.0027704,0.00047637,-0.0033724,0.0041831
LittleManhattan_012019363_00000002.mat,1,-0.0037109,-0.013,0.020378,0.0058961,0.0093712,0.010973,0.0069216,0.0050832,-0.0020524,-0.0017073
MarotAtTheWedding_011010680_00000043.mat,1,-0.0029797,-0.0054257,-0.0057613,-0.0039742,0.0052347,0.0024969,0.0055981,-0.010683,-0.0045749,0.002848
MissMarch_000546640_00000019.mat,1,-0.0054746,-0.002378,-0.015873,0.007469,-0.0073835,-0.0064833,-0.0078817,-0.001757,-0.0010016,-0.0028756
MissMarch_003042640_00000026.mat,1,-0.00063337,0.0062322,-0.0029473,-0.015896,0.0020285,0.0018551,-0.0017612,0.00087291,-0.0010661,0.0029067
MissMarch_003042640_00000045.mat,1,0.0012325,0.008598,-0.006832,-0.01488,0.0018123,0.0063872,-0.00091251,0.0050997,0.0020046,0.0023445
MissMarch_003042640_00000055.mat,1,0.0021853,0.013519,0.0048912,-0.018744,0.0039603,0.0041698,-0.0064926,0.0029989,0.00078326,0.0040329
MissMarch_004417200_00000013.mat,1,-0.0012806,0.0041746,0.0072593,-0.0085993,0.0098398,0.0023785,-0.011314,-0.0019872,-0.0044725,-0.00079396
MissMarch_004423640_00000028.mat,1,-0.0041269,0.0096368,0.0093183,-0.0030688,0.013775,0.0016612,-0.0094823,-0.00024283,-0.0024839,-0.0042894
MissMarch_004423640_00000062.mat,1,-0.0037452,0.0089895,-0.00059486,-0.0028927,0.015873,0.0011174,-0.0086034,-0.0041624,-0.0029197,0.00031146
NanyDiaries_011359760_00000038.mat,1,-0.0035437,-0.0065801,0.00098946,0.0066649,0.0063339,-0.0046147,-0.010598,-0.0088973,-0.00072206,-0.0059575
NanyDiaries_012335760_00000006.mat,1,0.0046879,0.007618,0.023071,-0.0079162,-0.0055626,0.00356,-0.012905,-0.001635,-0.0064359,0.0045219
NanyDiaries_012335760_00000021.mat,1,-0.0032777,-0.013739,0.014181,0.0022914,-0.0024235,0.0019466,-0.0087151,-0.0028876,-0.0063079,-0.00309
NotSuitableForChildren_002137000_00000003.mat,1,-0.0015371,0.0084781,0.00032797,-0.0071397,-0.0048556,0.0039832,-0.0085738,-0.010527,9.83E-05,0.0020199
NotSuitableForChildren_002137000_00000057.mat,1,-0.0015684,0.0046276,-0.0047175,-0.0098511,-0.0041155,0.0055952,-0.0059705,-0.0021894,0.0022599,0.0029176
OceansEleven_001416400_00000048.mat,1,0.00029797,0.0092352,0.0069564,-0.007327,-0.01358,0.006199,-0.0029128,0.0026152,0.00704,-0.0025974
OceansEleven_001416400_00000066.mat,1,-0.0011824,-0.0025036,-0.0055136,-0.004014,-0.0081879,-0.0072391,-0.0020787,-0.002655,0.0029003,-0.0095525
OceansEleven_001533480_00000081.mat,1,-0.00059766,0.011066,0.0035029,-0.0035691,-0.0052478,0.0020865,0.00069245,0.0033774,0.0027959,-0.008256
OceansEleven_005015240_00000061.mat,1,-0.0014236,0.020735,-0.00037014,0.0026868,0.002423,-0.0020429,0.004727,0.00036966,-0.003112,0.010394
OceansEleven_005846280_00000037.mat,1,0.044838,0.017984,-0.0014472,-0.0012301,-0.0098709,0.0069583,0.0028469,0.005083,0.0038428,0.0014897
OceansEleven_005846280_00000054.mat,1,-0.00022451,0.025379,-0.0014213,-0.00044337,-0.0059197,-0.0073067,3.12E-05,-0.0042199,0.0019807,0.0096396
OceansEleven_013542000_00000047.mat,1,-0.0031376,0.034272,0.006949,0.0055311,0.00075631,0.0085226,-0.0090204,0.0024922,-0.0057317,-0.0027574
OceansThirteen_011442920_00000015.mat,1,0.00051763,0.0057557,0.0029993,-0.01042,-0.0081486,0.0085675,-0.0087352,0.0017667,0.002451,0.00080679
OceansThirteen_012720200_00000036.mat,1,0.0022316,0.01056,0.0092625,-0.017413,-0.0019716,0.0041257,-0.0042355,0.0009333,-0.004518,-0.00040984
OceansThirteen_012738600_00000057.mat,1,0.00088792,0.046673,0.0079193,-0.012235,-0.0012446,-0.0008385,-0.0031578,0.0031007,0.0046654,0.0044459
OceansTwelve_002551440_00000006.mat,1,8.59E-05,0.0090632,0.0011647,-0.0016538,-0.0078109,-0.0049567,-0.00031325,-0.0025217,-0.0025649,0.004844
OceansTwelve_011833280_00000020.mat,1,-0.0025541,0.001568,0.0090969,0.0040285,0.012523,-0.0089158,-0.0039161,0.0039418,-0.0012405,0.0016141
OceansTwelve_011833280_00000042.mat,1,-0.0030394,0.00089476,0.0078503,-0.0028552,0.0084924,-0.0082147,-0.0030621,0.0067815,-0.00072826,0.0026673
OneFlewOverCuckooNest_001821420_00000001.mat,1,-0.0010396,-0.0018641,0.003064,-0.0048001,0.0038125,-0.0013151,-0.0088063,-0.0077704,-0.00032014,-0.00024169
21_010330280_00000013.mat,2,-0.005157,-0.017985,-0.024458,0.00083006,-0.0020339,-0.0079642,-0.005549,-0.0037699,-0.0001479,-0.0027526
AboutABoy_010940087_00000013.mat,2,0.0001541,-0.018883,0.0076468,-0.0055303,-0.0033281,-0.008981,0.0087478,-0.00034998,-0.0019279,0.011018
AboutABoy_010940087_00000024.mat,2,-0.0012367,-0.021997,0.014273,-0.00012845,-0.00020094,-0.0059479,0.0076861,-0.0070972,0.001013,0.0083883
AboutABoy_010940087_00000040.mat,2,-0.0011701,-0.015637,0.0028305,-0.00041672,-0.010515,-0.0031475,0.0081117,-0.0046497,-0.0027629,0.0077715
AboutABoy_012126048_00000012.mat,2,-0.0015761,-0.0041356,-0.0086636,-0.0035124,0.0054891,0.0034448,0.000677,-0.0079409,0.0042409,9.11E-05
AlexEmma_004117920_00000105.mat,2,-0.0011231,-0.00066044,9.40E-05,-0.008983,-0.0050896,0.012213,0.0074814,0.0088041,-0.0021794,0.001708
AlexEmma_005542400_00000020.mat,2,0.001428,-0.0082374,0.0028753,-0.010148,-0.0045401,0.0081307,0.0017954,0.0010812,0.0017496,0.0036813
AmericanHistoryX_000647360_00000015.mat,2,-0.0044845,0.0028872,-0.0010964,0.0019331,0.0066912,0.0024015,-0.0045023,-0.0045183,-0.002344,-0.0074905
AmericanHistoryX_012427760_00000011.mat,2,-0.0065098,0.0013837,-0.015999,0.016761,-0.0018829,0.0057757,-0.012015,0.006896,-0.0014403,0.0037649
Bridesmaids_000519240_00000057.mat,2,-0.0010395,0.026179,2.16E-05,-0.0014817,0.0033446,0.0065154,-0.0068588,-0.0058016,0.00020145,-0.0033229
Bridesmaids_001847600_00000001.mat,2,-0.0037278,-0.0063151,-0.0065928,-0.0009702,0.0053566,-0.0062934,-0.0083007,0.010102,-0.0023178,-0.0030821
Bridesmaids_004523000_00000001.mat,2,-0.0042138,-0.018563,-0.010252,-0.0036662,-0.0019804,0.0048976,0.0051096,-0.0059663,0.0021202,-0.0040727
Bridesmaids_004523000_00000034.mat,2,-0.0044925,-0.018244,-0.0085587,-0.0036848,0.0020521,0.0047522,0.0045501,-0.0083308,0.0016737,-0.0011184
ChangeUp_000505720_00000033.mat,2,-0.003145,-0.005929,0.0015288,-0.0097295,0.0078943,-0.0047812,0.00044384,0.0010784,0.00074019,0.0011093
ChangeUp_003110680_00000003.mat,2,-0.0041646,-0.0020775,-0.0012968,-0.0045569,-0.00054415,0.010862,0.0066841,-0.00059434,0.0018944,-0.0044594
CryingGame_013249040_00000050.mat,2,-0.0047646,-0.0032331,-0.0070273,0.0032254,0.0075652,-0.0081792,-0.0067958,0.0014333,-0.001039,-0.0040552
DecemberBoys_001529720_00000001.mat,2,0.0013602,-0.00048568,0.018783,-0.014185,0.00083704,0.0067085,-0.00769,-0.0016963,0.0036435,0.006196
DecemberBoys_002838640_00000097.mat,2,0.0035959,0.013892,0.0041849,-0.0098141,-0.0081057,0.0037111,-0.0067658,0.0030021,0.0064541,0.00057419
Descendants_004931320_00000014.mat,2,-0.0024486,-0.0060421,-0.0028672,-0.0005862,-0.0079376,0.012117,0.01055,-0.0024274,0.003518,0.0040048
Descendants_005217360_00000063.mat,2,0.00019479,0.00487,-0.0071442,0.0037596,-0.0058969,0.0060544,0.017791,-0.0056629,-0.0041178,0.00018987
Halloween_004540080_00000030.mat,2,0.00065525,0.028584,0.0037696,-0.0050254,-0.0045064,0.0079692,-0.0059093,-0.00029806,0.000314,0.002632
Hangover_000738334_00000060.mat,2,-0.0033224,-0.022778,-9.91E-05,-0.0066582,0.0038892,-0.0050239,-0.0052659,-0.0048151,0.0025252,-0.0077996
Hangover_010046254_00000049.mat,2,-0.0019152,0.0084132,-0.010329,-0.0031939,-0.005604,-0.0071929,-0.0016531,-0.0025201,0.0039018,-0.0066217
Hangover_010046254_00000068.mat,2,-0.004791,-0.00088611,-0.0011919,0.0059552,-0.0091591,0.0081066,-0.0059339,-0.00028907,0.0077672,-0.00097069
Hangover_012553854_00000031.mat,2,-0.0063856,-0.015994,-0.016532,-0.0010908,-0.0099065,-0.0067037,0.0010796,0.0019489,-0.0020441,0.0087365
Hangover_012553854_00000043.mat,2,-0.0021103,-0.019821,0.0035588,-0.0055669,-0.0035273,-0.0084556,-0.0043956,-0.0060378,0.0043834,0.00046619
HarryPotter_Deathly_Hallows_1_001425880_00000013.mat,2,-0.00078305,0.0148,-0.0078447,-0.0091391,-0.0053237,0.0026549,0.0033653,0.0036404,0.0047619,-0.0029568
HarryPotter_Deathly_Hallows_1_003307280_00000014.mat,2,-0.0039129,0.00046351,-0.018268,-0.0019068,0.010019,-0.0074012,-0.0070886,0.0037225,-0.00050744,-0.0016175
HarryPotter_Half_Blood_Prince_005637734_00000001.mat,2,0.0051266,0.014591,-0.0018696,-0.012422,-0.0011248,0.0045855,-0.0027086,0.0055742,-0.0015456,0.0016971
HarryPotter_Half_Blood_Prince_005637734_00000074.mat,2,-0.0015088,0.011625,0.0020941,-0.015715,0.0019224,0.0030826,-0.001428,0.0063875,-0.00077687,0.0012504
HarryPotter_PhilosopherStone_001549894_00000001.mat,2,-0.0014978,0.012439,0.0024907,0.0035462,-0.00095583,0.010271,0.00055087,-0.0030249,0.0048758,-0.0049309
HauntingMollyHartely_002326760_00000018.mat,2,-0.0013976,0.0057918,0.0026587,-0.0077641,-0.0046243,0.0062172,0.0053177,0.002735,0.0035345,0.00036991
HauntingMollyHartely_002326760_00000046.mat,2,-0.0018896,0.013568,0.0087067,-0.0052575,-0.0039089,0.008871,-0.00079609,0.0024582,0.0089204,-0.0073089
